weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
10,EB,10,541118908,1167645442,EPG(PB08)_R3,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1675,0.005970149253731343,2982,0.00335345405767941,0.005970149253731343,1451,1484,0.006738544474393531,0.006891798759476223,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1168664495,1198326456,EPG(PB08)_L8,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1691,0.0059136605558840925,2955,0.00338409475465313,0.0059136605558840925,1350,1527,0.006548788474132285,0.007407407407407408,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,694920753,1198326456,EPG(PB08)_R5,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1691,0.0059136605558840925,2724,0.003671071953010279,0.0059136605558840925,1462,1527,0.006548788474132285,0.006839945280437756,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,697001770,5813050767,EPG(PB08)_L2,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1786,0.005599104143337066,2979,0.003356831151393085,0.005599104143337066,1221,1630,0.006134969325153374,0.00819000819000819,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,387364605,5813050767,EPG(PB08)_L3,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1786,0.005599104143337066,3725,0.0026845637583892616,0.005599104143337066,1789,1630,0.006134969325153374,0.005589714924538848,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1034219901,5813053866,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1856,0.005387931034482759,2696,0.00370919881305638,0.005387931034482759,1391,1685,0.005934718100890208,0.007189072609633357,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,695629525,5813053866,EPG(PB08)_R2,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1856,0.005387931034482759,2887,0.0034638032559750607,0.005387931034482759,1425,1685,0.005934718100890208,0.007017543859649123,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,633546217,5813053866,EPG(PB08)_R4,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1856,0.005387931034482759,2408,0.004152823920265781,0.005387931034482759,1127,1685,0.005934718100890208,0.008873114463176575,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,387364605,5813053866,EPG(PB08)_L3,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1856,0.005387931034482759,3725,0.0026845637583892616,0.005387931034482759,1789,1685,0.005934718100890208,0.005589714924538848,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,5813077544,1259377325,EPG(PB08)_R1,ER6(ring)_L,EPG_R,ER6_L,ER6,EPG,450,0.022222222222222223,3461,0.002889338341519792,0.022222222222222223,1841,445,0.02247191011235955,0.005431830526887561,ER6,EPG,ER,EPG,ER,EB Columnar
9,EB,9,5813027103,1167641412,EPG(PB08)_R5,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1506,0.00597609561752988,2963,0.0030374620317246033,0.00597609561752988,1404,1504,0.005984042553191489,0.00641025641025641,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,5813027103,5813049948,EPG(PB08)_R5,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1563,0.005758157389635317,2963,0.0030374620317246033,0.005758157389635317,1404,1562,0.005761843790012804,0.00641025641025641,ER4,EPG,ER,EPG,ER,EB Columnar
