weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
47,EB,47,1167977970,725951521,ER4m(ring)_L,EPG(PB08)_R5,ER4m_L,EPG_R,EPG,ER4m,3468,0.013552479815455595,4439,0.010587970263572877,0.013552479815455595,4439,3189,0.01473816243336469,0.010587970263572877,EPG,ER4,EPG,ER,EB Columnar,ER
47,EB,47,5813050767,449438847,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4595,0.010228509249183896,4184,0.011233269598470364,0.010228509249183896,4163,4070,0.011547911547911549,0.011289935142925775,EPG,ER4,EPG,ER,EB Columnar,ER
46,EB,46,1167645442,665314820,ER4m(ring)_R,EPG(PB08)_L4,ER4m_R,EPG_L,EPG,ER4m,3576,0.012863534675615212,4226,0.010884997633696167,0.012863534675615212,4217,3148,0.014612452350698857,0.010908228598529761,EPG,ER4,EPG,ER,EB Columnar,ER
46,EB,46,1198326456,387364605,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4348,0.010579576816927323,4285,0.01073512252042007,0.010579576816927323,4271,3892,0.011819116135662899,0.010770311402481855,EPG,ER4,EPG,ER,EB Columnar,ER
46,EB,46,5813053866,665314820,ER4m(ring)_R,EPG(PB08)_L4,ER4m_R,EPG_L,EPG,ER4m,3576,0.012863534675615212,4568,0.010070052539404553,0.012863534675615212,4568,3148,0.014612452350698857,0.010070052539404553,EPG,ER4,EPG,ER,EB Columnar,ER
46,EB,46,5813053866,1002852791,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4112,0.011186770428015564,4568,0.010070052539404553,0.011186770428015564,4568,3834,0.011997913406364111,0.010070052539404553,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,1167641412,541870397,ER4m(ring)_L,EPG(PB08)_L6,ER4m_L,EPG_L,EPG,ER4m,3916,0.011491317671092951,4273,0.010531242686637023,0.011491317671092951,4268,3477,0.012942191544434857,0.010543580131208997,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,1167977970,695629525,ER4m(ring)_L,EPG(PB08)_R2,ER4m_L,EPG_R,EPG,ER4m,4153,0.010835540573079701,4439,0.010137418337463393,0.010835540573079701,4439,3837,0.011727912431587178,0.010137418337463393,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,1167645442,725951521,ER4m(ring)_R,EPG(PB08)_R5,ER4m_R,EPG_R,EPG,ER4m,3468,0.012975778546712802,4226,0.010648367250354946,0.012975778546712802,4217,3189,0.014111006585136407,0.010671093194213896,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,1167645442,1002507159,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4220,0.01066350710900474,4226,0.010648367250354946,0.01066350710900474,4217,3938,0.01142712036566785,0.010671093194213896,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,1198326456,665314820,ER4m(ring)_R,EPG(PB08)_L4,ER4m_R,EPG_L,EPG,ER4m,3576,0.012583892617449664,4285,0.010501750291715286,0.012583892617449664,4271,3148,0.014294790343074968,0.010536174198080075,EPG,ER4,EPG,ER,EB Columnar,ER
45,EB,45,5813053866,387364605,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4348,0.010349586016559338,4568,0.009851138353765323,0.010349586016559338,4568,3892,0.011562178828365879,0.009851138353765323,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1167977970,5813077544,ER4m(ring)_L,EPG(PB08)_R1,ER4m_L,EPG_R,EPG,ER4m,5176,0.008500772797527048,4439,0.00991214237440865,0.008500772797527048,4439,4842,0.009087154068566708,0.00991214237440865,EPG,ER4,EPG,ER,EB Columnar,ER
